Gender,Age,Exam_Year,State,School_Type,Highest_Score,Prep_Method,Prep_Challenges,Confidence_Level,Difficult_Subject,CBT_Familiarity,Exam_Day_Challenges,Center_Facilities_Rating,Technical_Issues,Prep_Improvement,Success
Female,16 - 17,2022,Kwara,Private,205,"Used online platforms (e.g., YouTube, CBT apps)",No access to coaching centers,3,Chemistry,Yes,None,4,No technical problems,Study group and good foundation in the core subjects,TRUE
Female,18 - 19,2022,Kwara,Private,362,"Attended coaching centers, Used online platforms (e.g., YouTube, CBT apps), Group study, Private tutoring","Poor time management, ",4,Physics,No,"Technical issues (e.g., computer malfunction, login problems)",2,Computer malfunction,,TRUE
Male,22 years or Older,2022,Kwara,Private,210,Studied independently,"No access to coaching centers, Lack of motivation, Poor time management",3,Physics,Yes,"Delay in starting the exam, Poor ventilation or overcrowding, Stress or panic",3,None,Having friends with similar goal around me,TRUE
Male,16 - 17,2021,Kwara,Private,212,Studied independently,"Lack of motivation, Poor time management, ",3,Physics,No,"Delay in starting the exam, Poor ventilation or overcrowding, Stress or panic",2,Not at all,Motivation,TRUE
Male,16 - 17,2025,Lagos,Private,273,Studied independently,No access to coaching centers,4,PHYSICS,Yes,None,5,I encountered none,Attending Coaching Classes,TRUE
Female,16 - 17,2021,Niger,Private,270,Attended coaching centers,Poor electricity/internet,3,Physics,Yes,None,3,None at all,If I was serious serious than I was,TRUE
Male,18 - 19,2023,Edo,Private,210,"Studied independently, Used online platforms (e.g., YouTube, CBT apps)","Lack of study materials, Poor electricity/internet, Lack of motivation, Poor time management",4,Chemistry,Yes,"Delay in starting the exam, Poor ventilation or overcrowding",3,None that I know about,"More motivation, less social Media and let's all just agree to 
Ban CHEMISTRY as a course 🌚🤧",TRUE
Male,16 - 17,2021,Imo,Private,228,"Studied independently, Used online platforms (e.g., YouTube, CBT apps)","Lack of study materials, Poor electricity/internet, No access to coaching centers, Financial difficulties, Poor time management",3,Literature,Yes,None,4,"None, was encountered ",Availability of study materials and proper training for CBT based exams,TRUE
Female,16 - 17,2020,Abuja,Public,222,Private tutoring,Lack of study materials,3,Physics,No,Poor ventilation or overcrowding,5,I didn't encounter any problems,I came earlier,TRUE
Male,22 years or Older,2025,Edo,Private,326,"Attended coaching centers, Studied independently, Used online platforms (e.g., YouTube, CBT apps), Group study",Poor time management,2,physics,Yes,"Technical issues (e.g., computer malfunction, login problems)",4,I encountered question that were not correct. Some other questions lacked correct options.,A knowledge of the fact that a good calculator will be provided at the exam center,TRUE
Female,16 - 17,2020,Lagos,Private,200,Attended coaching centers,Financial difficulties,4,Mathematics,Maybe,Miscommunication by invigilators,3,No,If I had financial stability,TRUE
Female,22 years or Older,2020,Abuja,Public,150,Studied independently,Poor time management,4,Maths,Yes,"Technical issues (e.g., computer malfunction, login problems)",4,Computer of and on,Money,FALSE
Male,22 years or Older,2021,Abuja,Public,160,Attended coaching centers,"Lack of study materials, Poor electricity/internet, No access to coaching centers, Poor time management",4,Literature,Yes,None,4,"There were no major technical issues during the process. However, at one point there was a brief delay in loading one of the application pages, which was quickly resolved by refreshing the browser. Other than that, the system functioned as expected ",Availability of more coaching centers for jamb candidates would be helpful.,FALSE
Female,18 - 19,2025,Abuja,Public,225,Attended coaching centers,"Lack of study materials, Poor electricity/internet, Financial difficulties, Poor time management",3,Physics,Yes,Delay in starting the exam,3,None,Having enough time to study,TRUE
Prefer not to say,16 - 17,2020,Nasarawa,Private,221,"Studied independently, Used online platforms (e.g., YouTube, CBT apps), Group study","Poor electricity/internet, Lack of motivation",3,Chemistry,Yes,"Delay in starting the exam, Stress or panic",4,Nil,"More motivation, and knowing what I wanted to study ",TRUE
Female,16 - 17,2020,Lagos,Private,212,"Studied independently, Used online platforms (e.g., YouTube, CBT apps), Group study","Lack of study materials, Lack of motivation",4,Biology,No,"Technical issues (e.g., computer malfunction, login problems), Poor ventilation or overcrowding",2,The computer was too slow,If they have online practice tests to know how ready one is.,TRUE
Female,18 - 19,2021,Abuja,Private,206,"Attended coaching centers, Used online platforms (e.g., YouTube, CBT apps)",No access to coaching centers,4,English,No,Poor ventilation or overcrowding,3,None,Availability of materials,TRUE
Female,18 - 19,2022,Edo,Public,273,"Attended coaching centers, Group study","Lack of study materials, Financial difficulties, Poor time management",3,Physics,Yes,Delay in starting the exam,4,None,Provision of reading materials,TRUE
Female,18 - 19,2023,Enugu,Public,234,Attended coaching centers,Lack of motivation,3,Chemistry,Yes,"Technical issues (e.g., computer malfunction, login problems)",3,My laptop wasn’t working,More concentration,TRUE
Female,16 - 17,2022,Enugu,Private,200,Studied independently,Poor time management,3,Chemistry,No,"Technical issues (e.g., computer malfunction, login problems), Poor ventilation or overcrowding, Stress or panic",3,My computer stopped working,Determination,TRUE
